"X","Y","species","ID","diam1","status.x","diam2","status.y","growth","surv","size_class","n_con","n_het","BAc5","BAh5","BAc10","BAh10","BAc15","BAh15","BAc20","BAh20","gap","myc","shade","drought","waterlogging","diameter","count","habit","ph","tec","org","alt","tecat","camg","cations"
86.9,76,"ACRU",3372,3.2,1,3.5,1,0.0375,1,"sap",0,2,0,801.8915,0,8435.019,0,24167.7,0,37853.73,25.08483,"am",3.44,1.84,3.08,3.795745,1927,"tree",6.341288,12.32581,7.894527,0.867046086603328,89.505129058601,6.4741571801364,0.0245749089722277
87,76,"ACRU",3373,2.4,1,2.8,1,0.05,1,"seed",0,0,8.042477,892.3144,17.6636,8854.626,64.35553,24761.11,78.63406,39239.88,25.0722,"am",3.44,1.84,3.08,3.795745,1927,"tree",6.342255,12.32416,7.894009,0.873218023564632,89.5188323917848,6.47546034204334,0.0246136317608442
87,77.4,"COFL",3374,6.8,1,7.5,1,0.0875,1,"sap",1,3,0,801.8915,0,10227.44,0,24584.08,0,37570.2,24.94541,"am",4.87,2.92,1.1,3.821149,2681,"shrub-tree",6.342843,12.32565,7.889083,0.869474321900586,89.5253258021901,6.46592000028301,0.0248777144775842
87.1,84.2,"NYSY",3414,2.8,1,3.2,1,0.05,1,"sap",1,4,0,706.8583,0,8855.459,0,18042.68,0,39821.41,23.92721,"other",3.52,2,1.87,4.075186,403,"tree",6.343522,12.31941,7.866609,0.87290487878715,89.482499632878,6.41747150567887,0.0261977278385658
87.1,208.7,"CACR",3704,5,1,5.7,1,0.0875,1,"sap",12,0,0,376.6848,0,11301.28,0,22853.56,0,38976.94,37.02511,"ecm",4.58,2.02,2.3,3.496869,543,"shrub-tree",5.614222,8.982268,8.056475,1.22145690884817,72.4756904366852,4.81762871708772,-0.0337666398327596
87.1,226.2,"ACRU",3751,2.1,1,NA,2,NA,0,"seed",0,0,0,3514.421,5.725553,11751.29,73.27765,22126.61,342.2372,39423.74,40.68752,"am",3.44,1.84,3.08,3.795745,1927,"tree",5.495762,8.354659,8.171164,1.64985443996139,69.4692286240326,4.55358252400528,-0.0490031946537544
87.2,95.5,"CECA",3415,2.3,1,2.8,1,0.0625,1,"seed",0,0,10.7521,3647.499,76.56061,12430.03,128.3105,20866.1,145.6678,39075.5,25.13032,"am",3,4.05,1.31,2.754654,924,"shrub-tree",6.350942,12.25955,7.836899,0.91955224604726,89.4875671270121,6.32399778675708,0.0287621303828616
87.3,120.7,"COFL",3491,3.2,1,NA,2,NA,0,"sap",4,1,0,3504.635,0,9329.776,0,31760.25,0,48710.17,23.66839,"am",4.87,2.92,1.1,3.821149,2681,"shrub-tree",6.507482,11.876,7.804551,1.08043733724313,91.8288949408241,6.06439282677613,0.0419121951848664
87.4,206,"CACR",3658,2.4,1,NA,2,NA,0,"seed",1,0,147.3407,2343.039,599.5651,10506.58,1043.095,21949.73,1334.713,38125.99,34.65096,"ecm",4.58,2.02,2.3,3.496869,543,"shrub-tree",5.635264,9.085952,8.038053,1.18211921528646,73.0087980081668,4.86137405483885,-0.0318792992038265
87.5,197.2,"CACR",3659,3,1,3.5,1,0.0625,1,"sap",3,1,0,486.9547,0,5697.498,0,20201.4,0,37039.04,30.79698,"ecm",4.58,2.02,2.3,3.496869,543,"shrub-tree",5.697341,9.430332,7.989101,1.06854687874776,74.5262549321367,4.996725955991,-0.0283108184196172
87.6,31.6,"COFL",3267,2.6,1,NA,2,NA,0,"sap",0,1,0,6151.82,0,11317.1,0,31658.58,0,47296.4,30.45869,"am",4.87,2.92,1.1,3.821149,2681,"shrub-tree",5.947589,12.11059,8.118915,1.64794287749837,79.4250115290527,6.65402234028894,-0.00983538367643928
87.6,37.1,"COFL",3315,5.1,1,5.4,1,0.0375,1,"sap",0,2,0,4493.082,0,15485.94,0,28028.14,126.6769,48316.49,33.49956,"am",4.87,2.92,1.1,3.821149,2681,"shrub-tree",6.016216,12.12416,8.083347,1.5043923187867,81.4351746169696,6.64720010287928,-0.0038331006842937
